predicates,submission_number
K850013,K950550
K893878,K950550
K926510,K950550
K840346,K950550
K893879,K950550
K904940,K950719
K904339,K950719
K790071,K950719
K900078,K951632
K913912,K951632
K900164,K951944
K942347,K952315
K863784,K952315
K872772,K952315
K850494,K952315
K874107,K952545
K921441,K952683
K832228,K952721
K941167,K952912
K900032,K952912
K901209,K952912
K922510,K952912
K913695,K952912
K945429,K952912
K942058,K952912
K882609,K952912
K900598,K952912
K912466,K953233
K950771,K953269
K942293,K953647
K943298,K953647
K833837,K953938
K910777,K953938
K822402,K954320
K932115,K954311
K883693,K954490
K911622,K954490
K953687,K954490
K951484,K954490
K894563,K954547
K935232,K954642
K952860,K954642
K946356,K954642
K831756,K954717
K922299,K954717
K926101,K954758
K926102,K954758
K912262,K954758
K921966,K954758
K882683,K954788
K920889,K954850
K903436,K954850
K941653,K954850
K772200,K955064
K913765,K955064
K881911,K955064
K791978,K955064
K912456,K955064
K922272,K955064
K955123,K955122
K883602,K955122
K954719,K955122
K902672,K955122
K915678,K955179
K943181,K955179
K903493,K955179
K913636,K955265
K914995,K955265
K832230,K955299
K905540,K955324
K811102,K955324
K951264,K955324
K950331,K955324
K883825,K955324
K873279,K955384
K823355,K955715
K913305,K955715
K933818,K955487
K900260,K955520
K922208,K955543
K832371,K955666
K802107,K955666
K790847,K955666
K800298,K955712
K791873,K955712
K830094,K955712
K933798,K955733
K933719,K955733
K943249,K955733
K950035,K955791
K792305,K955841
K915856,K955841
K912817,K955841
K873535,K955841
K955384,K955841
K924452,K955816
K940795,K955816
K914702,K955835
K891908,K955847
K912213,K955847
K904080,K955847
K900765,K955847
K940445,K955854
K943301,K955854
K925639,K955891
K902859,K960010
K902544,K960037
K883051,K960056
K810412,K960056
K911626,K960072
K951112,K960188
K952474,K960272
K920790,K960272
K904789,K960272
K862198,K960389
K930674,K960389
K860145,K960358
K885297,K960358
K860145,K960367
K885297,K960367
K920631,K960373
K861687,K960373
K952474,K960418
K920790,K960418
K874081,K960421
K896295,K960434
K903807,K960434
K832850,K960479
K844003,K960479
K955166,K960492
K932230,K960492
K960494,K960492
K930768,K960527
K964886,K960527
K934821,K960587
K861677,K960734
K914053,K960734
K920948,K960756
K842144,K960766
K951245,K960918
K955035,K960918
K931297,K960948
K901627,K960970
K841722,K960972
K915132,K961021
K833921,K961021
K945203,K961094
K859361,K961346
K946322,K961346
K952245,K961054
K900484,K961054
K932123,K961381
K902433,K961381
K925766,K961381
K933462,K961381
K902435,K961381
K902434,K961381
K885054,K961104
K921296,K961104
K852354,K961107
K924009,K961107
K884895,K961107
K925381,K961107
K934602,K961107
K913328,K961107
K933466,K961107
K915723,K961107
K905502,K961107
K884198,K961107
K861574,K961107
K914032,K961107
K862360,K961107
K874776,K961107
K881897,K961107
K864585,K961107
K950156,K961107
